date,avg_top_2,avg_bottom_2,daily_spread,spread_30d_ma
2024-06-19,130.245,22.985,107.26,117.29483333333334
2024-06-20,177.85500000000002,54.635000000000005,123.22000000000001,118.23299999999999
2024-06-21,122.32,74.235,48.084999999999994,116.64183333333334
2024-06-22,123.43,-0.04,123.47000000000001,116.782
2024-06-23,115.28999999999999,-2.13,117.41999999999999,119.313
2024-06-24,182.66,30.445,152.215,119.90599999999999
2024-06-25,132.79500000000002,-0.045,132.84,119.761
2024-06-26,132.195,77.59,54.60499999999999,117.23533333333333
2024-06-27,193.11,44.935,148.175,119.44383333333332
2024-06-28,132.315,-9.93,142.245,121.05166666666668
2024-06-29,133.065,-0.155,133.22,122.62166666666667
2024-06-30,102.275,-1.3,103.575,124.54299999999999
2024-07-01,154.575,36.120000000000005,118.45499999999998,125.79783333333333
2024-07-02,112.47999999999999,61.83,50.64999999999999,123.29533333333332
2024-07-03,141.34,57.56,83.78,121.50883333333333
2024-07-04,101.10499999999999,-18.560000000000002,119.66499999999999,120.0745
2024-07-05,136.37,-0.71,137.08,120.35116666666666
2024-07-06,54.99,-46.085,101.075,118.92083333333333
2024-07-07,129.405,-21.675,151.08,119.32166666666667
2024-07-08,215.52,29.505,186.01500000000001,121.30466666666666
2024-07-09,149.57,3.875,145.695,121.21233333333335
2024-07-10,156.34500000000003,45.855000000000004,110.49000000000002,121.32266666666666
2024-07-11,175.53500000000003,46.09,129.44500000000002,121.47116666666668
2024-07-12,109.75999999999999,50.585,59.17499999999999,119.63366666666666
2024-07-13,83.89500000000001,-13.185,97.08000000000001,118.50500000000001
2024-07-14,112.24000000000001,-73.96,186.2,121.6855
2024-07-15,214.575,-0.04,214.61499999999998,123.67816666666666
2024-07-16,117.94,-11.31,129.25,122.81483333333333
2024-07-17,165.70999999999998,12.135000000000002,153.575,122.453
2024-07-18,206.03,34.485,171.54500000000002,124.37333333333335
2024-07-19,155.74,36.35,119.39000000000001,124.77766666666666
2024-07-20,122.155,-4.470000000000001,126.625,124.89116666666668
2024-07-21,127.9,-0.145,128.04500000000002,127.5565
